player,score
Harvey Grant,2030.2727272727275
Will Barton,2029.8333333333335
Ken Norman,2028.75
Bismack Biyombo,2021.40625
Bryon Russell,2020.4230769230771
Reggie Evans,2020.2941176470588
Malik Rose,2020.0882352941178
Kent Benson,2019.7307692307693
Lamond Murray,2019.4090909090908
John Collins,2018.0
Dwight Jones,2017.6071428571427
Clifford Ray,2016.5
Dudley Bradley,2014.7727272727273
Bonzi Wells,2014.3928571428569
Darnell Hillman,2014.3737373737374
Jon Barry,2013.75
Spencer Hawes,2013.1785714285716
Evan Turner,2010.5833333333335
Kenny Thomas,2010.1666666666665
Justin Holiday,2010.1315789473686
Isaiah Rider,2006.3333333333333
J.R. Reid,2004.9705882352941
Garrett Temple,2003.826086956522
Micheal Williams,2003.5
Mike James,2003.125
Desmond Mason,2002.375
Johnny Davis,2001.1666666666667
Larry Drew,2000.5
Austin Rivers,2000.4411764705883
Fred Roberts,1992.8333333333333
Nate Williams,1990.0833333333335
Greg Monroe,1990.0
Dennis Scott,1986.892857142857
Wesley Person,1985.90625
Coby Dietrick,1981.7447552447554
Tony Campbell,1979.3461538461538
LaPhonso Ellis,1975.1363636363635
Phil Hubbard,1974.875
Jim McMillian,1973.7777777777778
Vinny Del Negro,1973.5
Lorenzen Wright,1970.3333333333333
Rod Higgins,1969.735294117647
Eric Williams,1969.166666666667
Rodney Stuckey,1968.75
Chucky Atkins,1967.5294117647059
Andrea Bargnani,1966.5
Matt Harpring,1966.3636363636365
Bob Weiss,1965.357142857143
Luke Jackson,1963.6071428571427
Robert Pack,1963.0
Deandre Ayton,1962.2857142857142
Manute Bol,1959.346153846154
Derek Anderson,1959.3461538461538
RJ Barrett,1957.4375
Roy Hinson,1952.25
Anthony Tolliver,1951.0
Andrew Lang,1950.142857142857
Howard Eisley,1949.8333333333333
Rasho Nesterović,1949.3333333333333
Greg Anthony,1948.5384615384617
Steve Hawes,1946.642857142857
Clem Haskins,1945.4444444444443
Cliff Levingston,1942.5
Patrick Patterson,1941.9999999999998
Earl Boykins,1937.3157894736842
Ruben Patterson,1937.2916666666667
Brandon Jennings,1937.269230769231
Michael Beasley,1936.9545454545455
George Lynch,1935.2500000000002
Josh Hart,1935.1666666666665
Pat Cummings,1933.0
Blue Edwards,1932.0416666666667
Rasual Butler,1931.6666666666667
Doug McDermott,1928.3235294117649
Terry Mills,1927.6153846153848
Pooh Richardson,1924.0
Jakob Poeltl,1922.9545454545453
Scott Williams,1922.842105263158
Eric Piatkowski,1921.8571428571427
Raef LaFrentz,1919.5416666666665
Brandon Bass,1916.5416666666665
